Java HotSpot(TM) 64-Bit Server VM (25.111-b14) for windows-amd64 JRE (1.8.0_111-b14), built on Sep 22 2016 19:24:05 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16642228k(9220620k free), swap 20705460k(9769332k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.257: [GC (Allocation Failure) 0.257: [DefNew: 959K->63K(960K), 0.0006938 secs] 16808K->16089K(524224K), 0.0007281 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.261: [GC (Allocation Failure) 0.261: [DefNew: 959K->63K(960K), 0.0012211 secs] 16986K->16412K(524224K), 0.0012786 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.263: [GC (Allocation Failure) 0.263: [DefNew: 959K->64K(960K), 0.0008144 secs] 17308K->16596K(524224K), 0.0008561 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.268: [GC (Allocation Failure) 0.268: [DefNew: 960K->63K(960K), 0.0006933 secs] 17493K->16863K(524224K), 0.0007314 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.271: [GC (Allocation Failure) 0.271: [DefNew: 959K->63K(960K), 0.0005584 secs] 17759K->17027K(524224K), 0.0005871 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.275: [GC (Allocation Failure) 0.275: [DefNew: 959K->63K(960K), 0.0008264 secs] 17924K->17229K(524224K), 0.0008798 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.280: [GC (Allocation Failure) 0.280: [DefNew: 959K->64K(960K), 0.0008826 secs] 18126K->17449K(524224K), 0.0009424 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.283: [GC (Allocation Failure) 0.283: [DefNew: 960K->63K(960K), 0.0007573 secs] 18345K->17721K(524224K), 0.0008005 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.287: [GC (Allocation Failure) 0.287: [DefNew: 959K->63K(960K), 0.0005718 secs] 18618K->17911K(524224K), 0.0006029 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.289: [GC (Allocation Failure) 0.289: [DefNew: 959K->63K(960K), 0.0004471 secs] 18808K->18062K(524224K), 0.0004730 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.292: [GC (Allocation Failure) 0.292: [DefNew: 959K->63K(960K), 0.0005723 secs] 18958K->18221K(524224K), 0.0006126 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.294: [GC (Allocation Failure) 0.294: [DefNew: 959K->63K(960K), 0.0008677 secs] 19118K->18452K(524224K), 0.0009164 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.298: [GC (Allocation Failure) 0.298: [DefNew: 959K->63K(960K), 0.0007253 secs] 19349K->18670K(524224K), 0.0007763 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.301: [GC (Allocation Failure) 0.301: [DefNew: 959K->64K(960K), 0.0005876 secs] 19567K->18862K(524224K), 0.0006266 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.305: [GC (Allocation Failure) 0.305: [DefNew: 960K->63K(960K), 0.0007810 secs] 19759K->19247K(524224K), 0.0008199 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.309: [GC (Allocation Failure) 0.309: [DefNew: 959K->63K(960K), 0.0012638 secs] 20144K->19460K(524224K), 0.0013176 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.312: [GC (Allocation Failure) 0.312: [DefNew: 959K->63K(960K), 0.0006646 secs] 20356K->19640K(524224K), 0.0007123 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.315: [GC (Allocation Failure) 0.315: [DefNew: 959K->63K(960K), 0.0005955 secs] 20536K->19832K(524224K), 0.0006293 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.317: [GC (Allocation Failure) 0.317: [DefNew: 959K->63K(960K), 0.0004879 secs] 20728K->19989K(524224K), 0.0005134 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.321: [GC (Allocation Failure) 0.321: [DefNew: 959K->64K(960K), 0.0005361 secs] 20887K->20159K(524224K), 0.0005667 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.323: [GC (Allocation Failure) 0.323: [DefNew: 960K->63K(960K), 0.0005083 secs] 21056K->20320K(524224K), 0.0005366 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.327: [GC (Allocation Failure) 0.327: [DefNew: 959K->63K(960K), 0.0010968 secs] 21216K->20667K(524224K), 0.0011566 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.331: [GC (Allocation Failure) 0.332: [DefNew: 959K->64K(960K), 0.0007156 secs] 21565K->20875K(524224K), 0.0007559 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.334: [GC (Allocation Failure) 0.334: [DefNew: 960K->64K(960K), 0.0006446 secs] 21771K->21108K(524224K), 0.0006725 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.337: [GC (Allocation Failure) 0.337: [DefNew: 960K->64K(960K), 0.0005941 secs] 22006K->21294K(524224K), 0.0006298 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.339: [GC (Allocation Failure) 0.340: [DefNew: 960K->63K(960K), 0.0005667 secs] 22191K->21456K(524224K), 0.0005987 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.343: [GC (Allocation Failure) 0.343: [DefNew: 959K->63K(960K), 0.0006001 secs] 22352K->21659K(524224K), 0.0006409 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.346: [GC (Allocation Failure) 0.346: [DefNew: 959K->64K(960K), 0.0005973 secs] 22556K->21877K(524224K), 0.0006293 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.349: [GC (Allocation Failure) 0.350: [DefNew: 960K->64K(960K), 0.0009210 secs] 22774K->22247K(524224K), 0.0009656 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.352: [GC (Allocation Failure) 0.352: [DefNew: 960K->64K(960K), 0.0006697 secs] 23145K->22427K(524224K), 0.0007068 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.355: [GC (Allocation Failure) 0.355: [DefNew: 960K->63K(960K), 0.0006275 secs] 23332K->22671K(524224K), 0.0006599 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.358: [GC (Allocation Failure) 0.358: [DefNew: 959K->64K(960K), 0.0006586 secs] 23582K->22893K(524224K), 0.0006980 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.360: [GC (Allocation Failure) 0.360: [DefNew: 960K->64K(960K), 0.0005978 secs] 23828K->23117K(524224K), 0.0006233 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.363: [GC (Allocation Failure) 0.363: [DefNew: 960K->63K(960K), 0.0005486 secs] 24071K->23333K(524224K), 0.0005783 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.367: [GC (Allocation Failure) 0.367: [DefNew: 959K->64K(960K), 0.0005227 secs] 24301K->23539K(524224K), 0.0005500 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.368: [GC (Allocation Failure) 0.368: [DefNew: 960K->63K(960K), 0.0004939 secs] 24518K->23751K(524224K), 0.0005213 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.373: [GC (Allocation Failure) 0.373: [DefNew: 959K->63K(960K), 0.0010926 secs] 24699K->24052K(524224K), 0.0011501 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.377: [GC (Allocation Failure) 0.377: [DefNew: 959K->63K(960K), 0.0007188 secs] 25011K->24296K(524224K), 0.0007569 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.382: [GC (Allocation Failure) 0.382: [DefNew: 959K->63K(960K), 0.0006126 secs] 25270K->24519K(524224K), 0.0006432 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.384: [GC (Allocation Failure) 0.384: [DefNew: 959K->63K(960K), 0.0005338 secs] 25496K->24742K(524224K), 0.0005612 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.388: [GC (Allocation Failure) 0.388: [DefNew: 959K->63K(960K), 0.0005584 secs] 25717K->24959K(524224K), 0.0005871 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.392: [GC (Allocation Failure) 0.392: [DefNew: 959K->63K(960K), 0.0012044 secs] 25910K->25211K(524224K), 0.0012749 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.395: [GC (Allocation Failure) 0.395: [DefNew: 959K->63K(960K), 0.0007114 secs] 26170K->25456K(524224K), 0.0007448 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.400: [GC (Allocation Failure) 0.400: [DefNew: 959K->63K(960K), 0.0005964 secs] 26426K->25682K(524224K), 0.0006275 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.404: [GC (Allocation Failure) 0.404: [DefNew: 959K->63K(960K), 0.0005106 secs] 26658K->25902K(524224K), 0.0005389 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
